vessel	cruise	haul	species	sex	specimen	age	length
518	198101	40	20510	1	1004	2	46
518	198101	53	20510	1	835	2	53
518	198101	53	20510	2	895	2	47
518	198101	67	20510	2	72	2	45
518	198101	67	20510	2	73	2	45
518	198101	92	20510	1	162	2	39
518	198101	92	20510	2	234	2	43
518	198101	92	20510	2	235	2	44
518	198101	40	20510	1	1001	3	44
518	198101	40	20510	1	1002	3	45
518	198101	40	20510	1	1003	3	46
518	198101	40	20510	1	1005	3	47
518	198101	40	20510	1	1006	3	47
518	198101	40	20510	1	1007	3	48
518	198101	40	20510	1	1009	3	49
518	198101	40	20510	1	1010	3	49
518	198101	40	20510	1	1011	3	50
518	198101	40	20510	1	1012	3	50
518	198101	40	20510	1	1013	3	51
518	198101	40	20510	1	1023	3	56
518	198101	40	20510	1	1026	3	57
518	198101	40	20510	2	1066	3	47
518	198101	40	20510	2	1067	3	48
518	198101	40	20510	2	1068	3	48
518	198101	40	20510	2	1069	3	49
518	198101	40	20510	2	1070	3	49
518	198101	40	20510	2	1071	3	50
518	198101	40	20510	2	1073	3	51
518	198101	40	20510	2	1075	3	52
518	198101	40	20510	2	1078	3	53
518	198101	40	20510	2	1084	3	56
518	198101	40	20510	2	1086	3	57
518	198101	40	20510	2	1096	3	62
518	198101	53	20510	1	820	3	46
518	198101	53	20510	1	821	3	46
518	198101	53	20510	1	822	3	47
518	198101	53	20510	1	823	3	47
518	198101	53	20510	1	824	3	48
518	198101	53	20510	1	825	3	48
518	198101	53	20510	1	826	3	49
518	198101	53	20510	1	827	3	49
518	198101	53	20510	1	830	3	51
518	198101	53	20510	1	831	3	51
518	198101	53	20510	1	836	3	54
518	198101	53	20510	1	841	3	56
518	198101	53	20510	2	892	3	45
518	198101	53	20510	2	893	3	45
518	198101	53	20510	2	894	3	47
518	198101	53	20510	2	896	3	48
518	198101	53	20510	2	897	3	48
518	198101	53	20510	2	898	3	49
518	198101	53	20510	2	899	3	49
518	198101	53	20510	2	902	3	51
518	198101	53	20510	2	903	3	51
518	198101	53	20510	2	906	3	53
518	198101	53	20510	2	907	3	53
518	198101	53	20510	2	919	3	59
518	198101	67	20510	1	1	3	41
518	198101	67	20510	1	3	3	43
518	198101	67	20510	1	6	3	46
518	198101	67	20510	1	7	3	46
518	198101	67	20510	1	8	3	47
518	198101	67	20510	1	15	3	50
518	198101	67	20510	1	17	3	52
518	198101	67	20510	2	74	3	47
518	198101	67	20510	2	75	3	47
518	198101	67	20510	2	77	3	48
518	198101	67	20510	2	80	3	50
518	198101	67	20510	2	81	3	50
518	198101	67	20510	2	82	3	51
518	198101	67	20510	2	85	3	52
518	198101	77	20510	1	495	3	44
518	198101	77	20510	1	496	3	44
518	198101	77	20510	1	497	3	45
518	198101	77	20510	1	499	3	46
518	198101	77	20510	1	500	3	47
518	198101	77	20510	1	501	3	47
518	198101	77	20510	1	514	3	54
518	198101	77	20510	2	557	3	46
518	198101	77	20510	2	558	3	47
518	198101	77	20510	2	560	3	48
518	198101	77	20510	2	561	3	48
518	198101	77	20510	2	563	3	49
518	198101	77	20510	2	573	3	54
518	198101	82	20510	1	334	3	43
518	198101	82	20510	1	335	3	45
518	198101	82	20510	1	344	3	49
518	198101	82	20510	2	408	3	47
518	198101	82	20510	2	411	3	49
518	198101	82	20510	2	417	3	52
518	198101	82	20510	2	425	3	56
518	198101	92	20510	1	163	3	43
518	198101	92	20510	1	165	3	44
518	198101	92	20510	1	167	3	45
518	198101	92	20510	1	169	3	47
518	198101	92	20510	1	172	3	49
518	198101	92	20510	1	173	3	49
518	198101	92	20510	2	236	3	45
518	198101	92	20510	2	237	3	45
518	198101	92	20510	2	238	3	46
518	198101	92	20510	2	239	3	46
518	198101	92	20510	2	241	3	47
518	198101	92	20510	2	247	3	50
518	198101	104	20510	1	636	3	41
518	198101	104	20510	1	637	3	42
518	198101	104	20510	1	638	3	43
518	198101	104	20510	1	639	3	45
518	198101	104	20510	1	641	3	46
518	198101	104	20510	1	651	3	51
518	198101	104	20510	2	711	3	44
518	198101	104	20510	2	712	3	44
518	198101	104	20510	2	713	3	45
518	198101	104	20510	2	721	3	49
518	198101	40	20510	1	1008	4	48
518	198101	40	20510	1	1014	4	51
518	198101	40	20510	1	1015	4	52
518	198101	40	20510	1	1016	4	52
518	198101	40	20510	1	1017	4	53
518	198101	40	20510	1	1019	4	54
518	198101	40	20510	1	1020	4	54
518	198101	40	20510	1	1021	4	55
518	198101	40	20510	1	1022	4	55
518	198101	40	20510	1	1025	4	57
518	198101	40	20510	1	1027	4	58
518	198101	40	20510	1	1028	4	58
518	198101	40	20510	1	1029	4	59
518	198101	40	20510	1	1030	4	59
518	198101	40	20510	2	1072	4	50
518	198101	40	20510	2	1074	4	51
518	198101	40	20510	2	1076	4	52
518	198101	40	20510	2	1077	4	53
518	198101	40	20510	2	1079	4	54
518	198101	40	20510	2	1080	4	54
518	198101	40	20510	2	1081	4	55
518	198101	40	20510	2	1082	4	55
518	198101	40	20510	2	1083	4	56
518	198101	40	20510	2	1085	4	57
518	198101	40	20510	2	1087	4	58
518	198101	40	20510	2	1089	4	59
518	198101	40	20510	2	1090	4	59
518	198101	40	20510	2	1093	4	61
518	198101	40	20510	2	1094	4	61
518	198101	40	20510	2	1095	4	62
518	198101	40	20510	2	1099	4	64
518	198101	40	20510	2	1100	4	64
518	198101	53	20510	1	842	4	56
518	198101	53	20510	1	844	4	57
518	198101	53	20510	1	846	4	58
518	198101	53	20510	1	847	4	59
518	198101	53	20510	1	828	4	50
518	198101	53	20510	1	829	4	50
518	198101	53	20510	1	832	4	52
518	198101	53	20510	1	833	4	52
518	198101	53	20510	1	834	4	53
518	198101	53	20510	1	837	4	54
518	198101	53	20510	1	839	4	55
518	198101	53	20510	1	840	4	55
518	198101	53	20510	2	900	4	50
518	198101	53	20510	2	901	4	50
518	198101	53	20510	2	904	4	52
518	198101	53	20510	2	905	4	52
518	198101	53	20510	2	908	4	54
518	198101	53	20510	2	909	4	54
518	198101	53	20510	2	910	4	55
518	198101	53	20510	2	911	4	55
518	198101	53	20510	2	912	4	56
518	198101	53	20510	2	913	4	56
518	198101	53	20510	2	914	4	57
518	198101	53	20510	2	915	4	57
518	198101	53	20510	2	916	4	58
518	198101	53	20510	2	917	4	58
518	198101	53	20510	2	918	4	59
518	198101	53	20510	2	920	4	60
518	198101	67	20510	1	2	4	41
518	198101	67	20510	1	5	4	45
518	198101	67	20510	1	9	4	47
518	198101	67	20510	1	10	4	48
518	198101	67	20510	1	11	4	48
518	198101	67	20510	1	12	4	49
518	198101	67	20510	1	13	4	49
518	198101	67	20510	1	14	4	50
518	198101	67	20510	1	16	4	52
518	198101	67	20510	1	18	4	53
