vessel	cruise	station	species 	sex	length	number	Age
516	198501	32	20510	2	48	235	2
516	198501	22	20510	1	44	129	2
516	198501	22	20510	2	40	160	2
516	198501	22	20510	2	43	161	2
516	198501	22	20510	2	44	162	2
516	198501	22	20510	2	45	163	2
516	198501	22	20510	2	46	164	2
516	198501	77	20510	2	46	694	2
516	198501	77	20510	2	48	697	2
516	198501	77	20510	2	48	698	2
516	198501	77	20510	2	49	700	2
516	198501	77	20510	1	44	621	2
516	198501	77	20510	1	44	622	2
516	198501	77	20510	1	47	627	2
516	198501	77	20510	1	47	628	2
516	198501	92	20510	2	46	1015	2
516	198501	104	20510	1	42	1119	2
516	198501	104	20510	1	43	1122	2
516	198501	104	20510	1	51	1138	2
516	198501	104	20510	2	41	1200	2
516	198501	104	20510	2	43	1201	2
516	198501	104	20510	2	44	1203	2
516	198501	104	20510	2	45	1206	2
516	198501	104	20510	2	47	1209	2
516	198501	104	20510	2	47	1210	2
516	198501	67	20510	1	43	452	2
516	198501	67	20510	1	44	454	2
516	198501	67	20510	1	44	455	2
516	198501	67	20510	1	45	457	2
516	198501	67	20510	1	46	459	2
516	198501	67	20510	2	43	525	2
516	198501	67	20510	2	44	526	2
516	198501	67	20510	2	46	530	2
516	198501	92	20510	1	41	935	2
516	198501	92	20510	1	42	936	2
516	198501	92	20510	1	44	939	2
516	198501	32	20510	1	45	201	3
516	198501	32	20510	2	46	234	3
516	198501	32	20510	2	56	243	3
516	198501	22	20510	1	45	130	3
516	198501	22	20510	1	46	131	3
516	198501	22	20510	1	48	133	3
516	198501	22	20510	1	51	136	3
516	198501	22	20510	2	47	165	3
516	198501	22	20510	2	48	166	3
516	198501	12	20510	1	47	59	3
516	198501	12	20510	2	48	94	3
516	198501	12	20510	2	51	97	3
516	198501	12	20510	2	53	99	3
516	198501	77	20510	2	44	689	3
516	198501	77	20510	2	45	691	3
516	198501	77	20510	2	45	692	3
516	198501	77	20510	2	47	696	3
516	198501	77	20510	2	50	701	3
516	198501	77	20510	2	50	702	3
516	198501	77	20510	2	51	704	3
516	198501	2	20510	1	43	1	3
516	198501	2	20510	1	49	3	3
516	198501	2	20510	1	51	5	3
516	198501	2	20510	2	48	27	3
516	198501	2	20510	2	50	28	3
516	198501	77	20510	1	45	623	3
516	198501	77	20510	1	45	624	3
516	198501	77	20510	1	46	625	3
516	198501	77	20510	1	46	626	3
516	198501	77	20510	1	49	631	3
516	198501	83	20510	1	44	776	3
516	198501	83	20510	1	44	777	3
516	198501	57	20510	2	44	399	3
